"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"HUN","NURSEGRAD","TOT","100000HAB","A","2013",34,
"HUN","NURSEGRAD","TOT","100000HAB","A","2014",40.54,
"HUN","NURSEGRAD","TOT","100000HAB","A","2015",43.87,
"HUN","NURSEGRAD","TOT","100000HAB","A","2016",41.9,
"ISL","NURSEGRAD","TOT","100000HAB","A","2013",72.89,
"ISL","NURSEGRAD","TOT","100000HAB","A","2014",82.17,
"ISL","NURSEGRAD","TOT","100000HAB","A","2015",72.25,
"ISL","NURSEGRAD","TOT","100000HAB","A","2016",65.59,
"IRL","NURSEGRAD","TOT","100000HAB","A","2013",33.05,
"IRL","NURSEGRAD","TOT","100000HAB","A","2014",31.35,
"IRL","NURSEGRAD","TOT","100000HAB","A","2015",28.75,
"IRL","NURSEGRAD","TOT","100000HAB","A","2016",29.31,
"ITA","NURSEGRAD","TOT","100000HAB","A","2013",21.71,
"ITA","NURSEGRAD","TOT","100000HAB","A","2014",21.44,
"ITA","NURSEGRAD","TOT","100000HAB","A","2015",20.69,
"JPN","NURSEGRAD","TOT","100000HAB","A","2013",48.86,
"JPN","NURSEGRAD","TOT","100000HAB","A","2014",50.25,
"JPN","NURSEGRAD","TOT","100000HAB","A","2015",50.92,
"JPN","NURSEGRAD","TOT","100000HAB","A","2016",51.52,
"JPN","NURSEGRAD","TOT","100000HAB","A","2017",51.45,
"KOR","NURSEGRAD","TOT","100000HAB","A","2013",97.08,
"KOR","NURSEGRAD","TOT","100000HAB","A","2014",111.75,
"KOR","NURSEGRAD","TOT","100000HAB","A","2015",108.95,
"KOR","NURSEGRAD","TOT","100000HAB","A","2016",109.42,
"KOR","NURSEGRAD","TOT","100000HAB","A","2017",105.77,
"LUX","NURSEGRAD","TOT","100000HAB","A","2013",11.23,
"LUX","NURSEGRAD","TOT","100000HAB","A","2014",12.94,
"LUX","NURSEGRAD","TOT","100000HAB","A","2015",12.82,
"LUX","NURSEGRAD","TOT","100000HAB","A","2016",14.57,
"LUX","NURSEGRAD","TOT","100000HAB","A","2017",18.11,"P"
"MEX","NURSEGRAD","TOT","100000HAB","A","2013",10.79,"D"
"MEX","NURSEGRAD","TOT","100000HAB","A","2014",10.66,"D"
"MEX","NURSEGRAD","TOT","100000HAB","A","2015",12.12,"D"
"MEX","NURSEGRAD","TOT","100000HAB","A","2016",15.75,"D"
"NLD","NURSEGRAD","TOT","100000HAB","A","2013",37.69,
"NLD","NURSEGRAD","TOT","100000HAB","A","2014",40.46,
"NLD","NURSEGRAD","TOT","100000HAB","A","2015",42.76,
"NLD","NURSEGRAD","TOT","100000HAB","A","2016",44.12,"E"
"NZL","NURSEGRAD","TOT","100000HAB","A","2013",44.26,
"NZL","NURSEGRAD","TOT","100000HAB","A","2014",45.97,
"NZL","NURSEGRAD","TOT","100000HAB","A","2015",45.96,
"NZL","NURSEGRAD","TOT","100000HAB","A","2016",46.15,
"NZL","NURSEGRAD","TOT","100000HAB","A","2017",45.39,
"NOR","NURSEGRAD","TOT","100000HAB","A","2013",71.91,
"NOR","NURSEGRAD","TOT","100000HAB","A","2014",73.27,
"NOR","NURSEGRAD","TOT","100000HAB","A","2015",73.43,
"NOR","NURSEGRAD","TOT","100000HAB","A","2016",76.09,
"NOR","NURSEGRAD","TOT","100000HAB","A","2017",80.08,
"POL","NURSEGRAD","TOT","100000HAB","A","2013",35.65,
"POL","NURSEGRAD","TOT","100000HAB","A","2014",28.75,
"POL","NURSEGRAD","TOT","100000HAB","A","2015",32.08,
"POL","NURSEGRAD","TOT","100000HAB","A","2016",17.94,
"PRT","NURSEGRAD","TOT","100000HAB","A","2013",25.49,
"PRT","NURSEGRAD","TOT","100000HAB","A","2014",25.71,
"PRT","NURSEGRAD","TOT","100000HAB","A","2015",26.22,
"PRT","NURSEGRAD","TOT","100000HAB","A","2016",24.48,
"SVK","NURSEGRAD","TOT","100000HAB","A","2013",63.1,
"SVK","NURSEGRAD","TOT","100000HAB","A","2014",52.93,
"ESP","NURSEGRAD","TOT","100000HAB","A","2013",18.84,
"ESP","NURSEGRAD","TOT","100000HAB","A","2014",25.17,
"ESP","NURSEGRAD","TOT","100000HAB","A","2015",23.18,
"ESP","NURSEGRAD","TOT","100000HAB","A","2016",22.76,
"CHE","NURSEGRAD","TOT","100000HAB","A","2013",83.55,
"CHE","NURSEGRAD","TOT","100000HAB","A","2014",93.41,
"CHE","NURSEGRAD","TOT","100000HAB","A","2015",97.94,
"CHE","NURSEGRAD","TOT","100000HAB","A","2016",98.91,
"TUR","NURSEGRAD","TOT","100000HAB","A","2013",26.06,
"TUR","NURSEGRAD","TOT","100000HAB","A","2014",28.86,
"TUR","NURSEGRAD","TOT","100000HAB","A","2015",38.62,
"TUR","NURSEGRAD","TOT","100000HAB","A","2016",71.95,
"GBR","NURSEGRAD","TOT","100000HAB","A","2013",31.39,"E"
"GBR","NURSEGRAD","TOT","100000HAB","A","2014",29.05,"E"
"GBR","NURSEGRAD","TOT","100000HAB","A","2015",26.99,"E"
"GBR","NURSEGRAD","TOT","100000HAB","A","2016",27.13,"E"
"GBR","NURSEGRAD","TOT","100000HAB","A","2017",29.55,"E"
"USA","NURSEGRAD","TOT","100000HAB","A","2013",63.35,
"USA","NURSEGRAD","TOT","100000HAB","A","2014",62.92,
"USA","NURSEGRAD","TOT","100000HAB","A","2015",63.03,
"USA","NURSEGRAD","TOT","100000HAB","A","2016",61.75,
"CHL","NURSEGRAD","TOT","100000HAB","A","2013",12.54,
"CHL","NURSEGRAD","TOT","100000HAB","A","2014",18.57,
"CHL","NURSEGRAD","TOT","100000HAB","A","2015",21.52,
"CHL","NURSEGRAD","TOT","100000HAB","A","2016",24.94,
"CHL","NURSEGRAD","TOT","100000HAB","A","2017",28.92,
"EST","NURSEGRAD","TOT","100000HAB","A","2013",35.43,
"EST","NURSEGRAD","TOT","100000HAB","A","2014",34.31,
"EST","NURSEGRAD","TOT","100000HAB","A","2015",32.61,
"EST","NURSEGRAD","TOT","100000HAB","A","2016",32.38,
"EST","NURSEGRAD","TOT","100000HAB","A","2017",35.5,
"ISR","NURSEGRAD","TOT","100000HAB","A","2013",15.77,
"ISR","NURSEGRAD","TOT","100000HAB","A","2014",22.07,
"ISR","NURSEGRAD","TOT","100000HAB","A","2015",19,
"ISR","NURSEGRAD","TOT","100000HAB","A","2016",20.97,
"ISR","NURSEGRAD","TOT","100000HAB","A","2017",24.2,
"SVN","NURSEGRAD","TOT","100000HAB","A","2013",77.57,
"SVN","NURSEGRAD","TOT","100000HAB","A","2014",78.13,
"SVN","NURSEGRAD","TOT","100000HAB","A","2015",77.49,
"SVN","NURSEGRAD","TOT","100000HAB","A","2016",90.26,
"LVA","NURSEGRAD","TOT","100000HAB","A","2013",92.66,
"LVA","NURSEGRAD","TOT","100000HAB","A","2014",27.89,"B"
"LVA","NURSEGRAD","TOT","100000HAB","A","2015",27.56,
"LVA","NURSEGRAD","TOT","100000HAB","A","2016",20,
"LVA","NURSEGRAD","TOT","100000HAB","A","2017",27.38,
"LTU","NURSEGRAD","TOT","100000HAB","A","2013",16.97,
"LTU","NURSEGRAD","TOT","100000HAB","A","2014",18.28,
"LTU","NURSEGRAD","TOT","100000HAB","A","2015",18.42,
"LTU","NURSEGRAD","TOT","100000HAB","A","2016",18.93,
"GRC","NURSEGRAD","TOT","100000HAB","A","2013",23.79,
