"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"MEX","MEDICALDOC","TOT","1000HAB","A","2013",2.17,
"MEX","MEDICALDOC","TOT","1000HAB","A","2014",2.23,
"MEX","MEDICALDOC","TOT","1000HAB","A","2015",2.35,
"MEX","MEDICALDOC","TOT","1000HAB","A","2016",2.36,
"NLD","MEDICALDOC","TOT","1000HAB","A","2013",3.31,
"NZL","MEDICALDOC","TOT","1000HAB","A","2013",2.83,
"NZL","MEDICALDOC","TOT","1000HAB","A","2014",2.84,
"NZL","MEDICALDOC","TOT","1000HAB","A","2015",3.01,"B"
"NZL","MEDICALDOC","TOT","1000HAB","A","2016",3,
"NOR","MEDICALDOC","TOT","1000HAB","A","2013",4.31,
"NOR","MEDICALDOC","TOT","1000HAB","A","2014",4.43,
"NOR","MEDICALDOC","TOT","1000HAB","A","2015",4.4,"B"
"NOR","MEDICALDOC","TOT","1000HAB","A","2016",4.51,
"NOR","MEDICALDOC","TOT","1000HAB","A","2017",4.68,
"POL","MEDICALDOC","TOT","1000HAB","A","2013",2.24,
"POL","MEDICALDOC","TOT","1000HAB","A","2014",2.31,
"POL","MEDICALDOC","TOT","1000HAB","A","2015",2.33,
"POL","MEDICALDOC","TOT","1000HAB","A","2016",2.42,
"SVK","MEDICALDOC","TOT","1000HAB","A","2013",3.39,
"SVK","MEDICALDOC","TOT","1000HAB","A","2014",3.43,
"SVK","MEDICALDOC","TOT","1000HAB","A","2015",3.45,
"SVK","MEDICALDOC","TOT","1000HAB","A","2016",3.47,
"ESP","MEDICALDOC","TOT","1000HAB","A","2013",3.81,
"ESP","MEDICALDOC","TOT","1000HAB","A","2014",3.8,
"ESP","MEDICALDOC","TOT","1000HAB","A","2015",3.85,
"ESP","MEDICALDOC","TOT","1000HAB","A","2016",3.82,
"SWE","MEDICALDOC","TOT","1000HAB","A","2013",4.13,
"SWE","MEDICALDOC","TOT","1000HAB","A","2014",4.2,
"SWE","MEDICALDOC","TOT","1000HAB","A","2015",4.27,
"CHE","MEDICALDOC","TOT","1000HAB","A","2013",4.04,
"CHE","MEDICALDOC","TOT","1000HAB","A","2014",4.13,
"CHE","MEDICALDOC","TOT","1000HAB","A","2015",4.2,
"CHE","MEDICALDOC","TOT","1000HAB","A","2016",4.25,
"TUR","MEDICALDOC","TOT","1000HAB","A","2013",1.76,
"TUR","MEDICALDOC","TOT","1000HAB","A","2014",1.76,
"TUR","MEDICALDOC","TOT","1000HAB","A","2015",1.81,
"TUR","MEDICALDOC","TOT","1000HAB","A","2016",1.83,
"GBR","MEDICALDOC","TOT","1000HAB","A","2013",2.71,
"GBR","MEDICALDOC","TOT","1000HAB","A","2014",2.74,
"GBR","MEDICALDOC","TOT","1000HAB","A","2015",2.77,"B"
"GBR","MEDICALDOC","TOT","1000HAB","A","2016",2.78,
"GBR","MEDICALDOC","TOT","1000HAB","A","2017",2.82,"E"
"USA","MEDICALDOC","TOT","1000HAB","A","2013",2.56,
"USA","MEDICALDOC","TOT","1000HAB","A","2014",2.57,
"USA","MEDICALDOC","TOT","1000HAB","A","2015",2.58,
"USA","MEDICALDOC","TOT","1000HAB","A","2016",2.58,
"CHN","MEDICALDOC","TOT","1000HAB","A","2013",1.65,"D"
"CHN","MEDICALDOC","TOT","1000HAB","A","2014",1.71,"D"
"CHN","MEDICALDOC","TOT","1000HAB","A","2015",1.8,"D"
"EST","MEDICALDOC","TOT","1000HAB","A","2013",3.33,"B"
"EST","MEDICALDOC","TOT","1000HAB","A","2014",3.36,
"EST","MEDICALDOC","TOT","1000HAB","A","2015",3.41,
"EST","MEDICALDOC","TOT","1000HAB","A","2016",3.46,
"IND","MEDICALDOC","TOT","1000HAB","A","2013",0.72,
"IND","MEDICALDOC","TOT","1000HAB","A","2014",0.73,
"IDN","MEDICALDOC","TOT","1000HAB","A","2013",0.32,
"ISR","MEDICALDOC","TOT","1000HAB","A","2013",2.94,
"ISR","MEDICALDOC","TOT","1000HAB","A","2014",2.98,
"ISR","MEDICALDOC","TOT","1000HAB","A","2015",3.07,
"ISR","MEDICALDOC","TOT","1000HAB","A","2016",3.08,
"RUS","MEDICALDOC","TOT","1000HAB","A","2013",4.02,
"RUS","MEDICALDOC","TOT","1000HAB","A","2014",4.15,"B"
"RUS","MEDICALDOC","TOT","1000HAB","A","2015",3.9,
"RUS","MEDICALDOC","TOT","1000HAB","A","2016",3.94,
"SVN","MEDICALDOC","TOT","1000HAB","A","2013",2.63,
"SVN","MEDICALDOC","TOT","1000HAB","A","2014",2.77,
"SVN","MEDICALDOC","TOT","1000HAB","A","2015",2.83,
"SVN","MEDICALDOC","TOT","1000HAB","A","2016",3.01,
"ZAF","MEDICALDOC","TOT","1000HAB","A","2013",0.75,"D"
"ZAF","MEDICALDOC","TOT","1000HAB","A","2014",0.76,"D"
"ZAF","MEDICALDOC","TOT","1000HAB","A","2015",0.79,"D"
"COL","MEDICALDOC","TOT","1000HAB","A","2013",1.81,
"COL","MEDICALDOC","TOT","1000HAB","A","2014",1.88,
"COL","MEDICALDOC","TOT","1000HAB","A","2015",1.94,
"COL","MEDICALDOC","TOT","1000HAB","A","2016",2,
"COL","MEDICALDOC","TOT","1000HAB","A","2017",2.07,
"LVA","MEDICALDOC","TOT","1000HAB","A","2013",3.19,
"LVA","MEDICALDOC","TOT","1000HAB","A","2014",3.22,
"LVA","MEDICALDOC","TOT","1000HAB","A","2015",3.2,
"LVA","MEDICALDOC","TOT","1000HAB","A","2016",3.21,
"LTU","MEDICALDOC","TOT","1000HAB","A","2013",4.28,
"LTU","MEDICALDOC","TOT","1000HAB","A","2014",4.31,
"LTU","MEDICALDOC","TOT","1000HAB","A","2015",4.34,
"LTU","MEDICALDOC","TOT","1000HAB","A","2016",4.47,
