"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NZL","MEDICALGRAD","TOT","100000HAB","A","2016",9.46,
"NZL","MEDICALGRAD","TOT","100000HAB","A","2017",9.12,
"NOR","MEDICALGRAD","TOT","100000HAB","A","2013",11.38,
"NOR","MEDICALGRAD","TOT","100000HAB","A","2014",11.04,
"NOR","MEDICALGRAD","TOT","100000HAB","A","2015",11.17,
"NOR","MEDICALGRAD","TOT","100000HAB","A","2016",11.08,
"NOR","MEDICALGRAD","TOT","100000HAB","A","2017",11.14,
"POL","MEDICALGRAD","TOT","100000HAB","A","2013",9.88,
"POL","MEDICALGRAD","TOT","100000HAB","A","2014",9.7,
"POL","MEDICALGRAD","TOT","100000HAB","A","2015",10.24,
"POL","MEDICALGRAD","TOT","100000HAB","A","2016",10.49,
"PRT","MEDICALGRAD","TOT","100000HAB","A","2013",13.64,
"PRT","MEDICALGRAD","TOT","100000HAB","A","2014",14.94,
"PRT","MEDICALGRAD","TOT","100000HAB","A","2015",15.85,
"PRT","MEDICALGRAD","TOT","100000HAB","A","2016",16.44,
"SVK","MEDICALGRAD","TOT","100000HAB","A","2013",12.75,
"SVK","MEDICALGRAD","TOT","100000HAB","A","2014",13.51,
"ESP","MEDICALGRAD","TOT","100000HAB","A","2013",10.23,
"ESP","MEDICALGRAD","TOT","100000HAB","A","2014",11.99,
"ESP","MEDICALGRAD","TOT","100000HAB","A","2015",13.03,
"ESP","MEDICALGRAD","TOT","100000HAB","A","2016",13.39,
"SWE","MEDICALGRAD","TOT","100000HAB","A","2013",10.28,
"SWE","MEDICALGRAD","TOT","100000HAB","A","2014",11.25,
"SWE","MEDICALGRAD","TOT","100000HAB","A","2015",12.41,
"SWE","MEDICALGRAD","TOT","100000HAB","A","2016",10.16,
"CHE","MEDICALGRAD","TOT","100000HAB","A","2013",9.72,
"CHE","MEDICALGRAD","TOT","100000HAB","A","2014",10.54,
"CHE","MEDICALGRAD","TOT","100000HAB","A","2015",10.79,
"CHE","MEDICALGRAD","TOT","100000HAB","A","2016",10.57,
"TUR","MEDICALGRAD","TOT","100000HAB","A","2013",6.31,
"TUR","MEDICALGRAD","TOT","100000HAB","A","2014",6.7,
"TUR","MEDICALGRAD","TOT","100000HAB","A","2015",8.89,
"TUR","MEDICALGRAD","TOT","100000HAB","A","2016",9.9,
"GBR","MEDICALGRAD","TOT","100000HAB","A","2013",13.18,
"GBR","MEDICALGRAD","TOT","100000HAB","A","2014",13.45,
"GBR","MEDICALGRAD","TOT","100000HAB","A","2015",12.83,
"GBR","MEDICALGRAD","TOT","100000HAB","A","2016",12.87,
"USA","MEDICALGRAD","TOT","100000HAB","A","2013",7.26,
"USA","MEDICALGRAD","TOT","100000HAB","A","2014",7.24,
"USA","MEDICALGRAD","TOT","100000HAB","A","2015",7.48,
"USA","MEDICALGRAD","TOT","100000HAB","A","2016",7.55,
"CHL","MEDICALGRAD","TOT","100000HAB","A","2013",7.34,
"CHL","MEDICALGRAD","TOT","100000HAB","A","2014",8.63,
"CHL","MEDICALGRAD","TOT","100000HAB","A","2015",9.4,
"CHL","MEDICALGRAD","TOT","100000HAB","A","2016",9.04,
"CHL","MEDICALGRAD","TOT","100000HAB","A","2017",8.69,
"EST","MEDICALGRAD","TOT","100000HAB","A","2013",9.71,
"EST","MEDICALGRAD","TOT","100000HAB","A","2014",10.57,
"EST","MEDICALGRAD","TOT","100000HAB","A","2015",10.11,
"EST","MEDICALGRAD","TOT","100000HAB","A","2016",11.02,
"EST","MEDICALGRAD","TOT","100000HAB","A","2017",11.48,
"ISR","MEDICALGRAD","TOT","100000HAB","A","2013",5.06,
"ISR","MEDICALGRAD","TOT","100000HAB","A","2014",6.29,
"ISR","MEDICALGRAD","TOT","100000HAB","A","2015",5.47,
"ISR","MEDICALGRAD","TOT","100000HAB","A","2016",6.76,
"SVN","MEDICALGRAD","TOT","100000HAB","A","2013",11.89,
"SVN","MEDICALGRAD","TOT","100000HAB","A","2014",14.65,
"SVN","MEDICALGRAD","TOT","100000HAB","A","2015",17.35,
"SVN","MEDICALGRAD","TOT","100000HAB","A","2016",15.88,
"LVA","MEDICALGRAD","TOT","100000HAB","A","2013",13.46,
"LVA","MEDICALGRAD","TOT","100000HAB","A","2014",14.04,
"LVA","MEDICALGRAD","TOT","100000HAB","A","2015",16.18,
"LVA","MEDICALGRAD","TOT","100000HAB","A","2016",16.33,
"LVA","MEDICALGRAD","TOT","100000HAB","A","2017",17.28,
"LTU","MEDICALGRAD","TOT","100000HAB","A","2013",14.81,
"LTU","MEDICALGRAD","TOT","100000HAB","A","2014",14.63,
"LTU","MEDICALGRAD","TOT","100000HAB","A","2015",16.39,
"LTU","MEDICALGRAD","TOT","100000HAB","A","2016",16.11,
"LUX","MEDICALGRAD","TOT","100000HAB","A","2013",0,
"LUX","MEDICALGRAD","TOT","100000HAB","A","2014",0,
"LUX","MEDICALGRAD","TOT","100000HAB","A","2015",0,
"LUX","MEDICALGRAD","TOT","100000HAB","A","2016",0,
"LUX","MEDICALGRAD","TOT","100000HAB","A","2017",0,
