ExhibitionTitle,ExhibitionBeginDate,ExhibitionURL,DisplayName,Nationality,Gender
"Ballet Drawings by Franklin C. Watkins for ""Transcendence""; Model by Eugene Berman for ""The Island God""",6/18/1946,http://www.moma.org/calendar/exhibitions/2379,Franklin Chenault Watkins,American,Male
"Paintings, Sculpture, and Graphic Arts from the Museum Collection",7/2/1946,http://www.moma.org/calendar/exhibitions/2856,"Alfred H. Barr, Jr.",American,Male
Paintings from New York Private Collections,7/2/1946,http://www.moma.org/calendar/exhibitions/2793,Monroe Wheeler,American,Male
Fourteen Americans,9/10/1946,http://www.moma.org/calendar/exhibitions/3196,Dorothy C. Miller,American,Female
Florine Stettheimer,10/1/1946,http://www.moma.org/calendar/exhibitions/3199,Monroe Wheeler,American,Male
On Being a Cartoonist,10/15/1946,http://www.moma.org/calendar/exhibitions/3200,Robert Osborn,American,Male
"Recent Acquisitions: 61 Lithographs by Toulouse-Lautrec and 31 Aquatints by Picasso for Buffon's ""Histoire Naturelle""",11/19/1946,http://www.moma.org/calendar/exhibitions/3203,Pablo Picasso,Spanish,Male
Le Tricorne by Picasso,11/19/1946,http://www.moma.org/calendar/exhibitions/3201,Pablo Picasso,Spanish,Male
Modern Rooms of the Last Fifty Years,11/26/1946,http://www.moma.org/calendar/exhibitions/3204,Alvar Aalto,Finnish,Male
Henry Moore,12/17/1946,http://www.moma.org/calendar/exhibitions/2908,James Johnson Sweeney,American,Male
46 Recent Lithographs by Picasso,1/28/1947,http://www.moma.org/calendar/exhibitions/3208,Pablo Picasso,Spanish,Male
The Photographs of Henri Cartier Bresson,2/4/1947,http://www.moma.org/calendar/exhibitions/2703,Monroe Wheeler,American,Male
Printed Textiles for the Home,3/12/1947,http://www.moma.org/calendar/exhibitions/3209,Marcel Breuer,American,Male
Drawings in the Collection of The Museum of Modern Art,4/15/1947,http://www.moma.org/calendar/exhibitions/3210,Jean (Hans) Arp,French,Male
Taliesin and Taliesin West,4/15/1947,http://www.moma.org/calendar/exhibitions/3202,Ezra Stoller,American,Male
Alfred Stieglitz Exhibition: His Photographs,6/10/1947,http://www.moma.org/calendar/exhibitions/3213,James Johnson Sweeney,American,Male
Alfred Stieglitz Exhibition: His Collection,6/10/1947,http://www.moma.org/calendar/exhibitions/3214,James Johnson Sweeney,American,Male
Mies van der Rohe,9/16/1947,http://www.moma.org/calendar/exhibitions/2734,Philip Johnson,American,Male
Ben Shahn,9/30/1947,http://www.moma.org/calendar/exhibitions/3216,James Thrall Soby,American,Male
Three Young Photographers,9/30/1947,http://www.moma.org/calendar/exhibitions/2382,Edward Steichen,American,Male
Music and Musicians,12/16/1947,http://www.moma.org/calendar/exhibitions/3223,Edward Steichen,American,Male
Portraits of Gertrude Stein by Picasso,1/22/1948,http://www.moma.org/calendar/exhibitions/3215,Pablo Picasso,Spanish,Male
Stage Designs for the Ballet Society,1/20/1948,http://www.moma.org/calendar/exhibitions/3233,Horace Armistead,American,Male
Naum Gabo and Antoine Pevsner,2/10/1948,http://www.moma.org/calendar/exhibitions/3228,René d'Harnoncourt,American,Male
Miró Mural,3/2/1948,http://www.moma.org/calendar/exhibitions/3231,Joan Miró,Spanish,Male
In and Out of Focus: A Survey of Today's Photography,4/6/1948,http://www.moma.org/calendar/exhibitions/2396,Edward Steichen,American,Male
Portraits in Prints,6/1/1948,http://www.moma.org/calendar/exhibitions/3370,William S. Lieberman,American,Male
Loren MacIver Mural Paintings,7/8/1948,http://www.moma.org/calendar/exhibitions/3226,Loren MacIver,American,Female
New York Private Collections,7/20/1948,http://www.moma.org/calendar/exhibitions/3225,James Thrall Soby,American,Male
50 Photographs by 50 Photographers,7/27/1948,http://www.moma.org/calendar/exhibitions/2395,Edward Steichen,American,Male
"Recent Acquisitions: Bequest of Mrs. John D. Rockefeller, Jr.",9/14/1948,http://www.moma.org/calendar/exhibitions/3229,Vincent van Gogh,Dutch,Male
"Bonnard, Picasso",9/14/1948,http://www.moma.org/calendar/exhibitions/3235,Pierre Bonnard,French,Male
Photo-Secession (American Photography 1902–1910),9/29/1948,http://www.moma.org/calendar/exhibitions/2400,Edward Steichen,American,Male
Print Gift of Victor S. Riesenfeld and Matisse: Jazz: Gift of the Artist,10/1/1948,http://www.moma.org/calendar/exhibitions/3240,William S. Lieberman,American,Male
Elie Nadelman,10/5/1948,http://www.moma.org/calendar/exhibitions/2921,Lincoln Kirstein,American,Male
Timeless Aspects of Modern Art,11/16/1948,http://www.moma.org/calendar/exhibitions/2845,René d'Harnoncourt,American,Male
"Photographs by Bill Brandt, Harry Callahan, Ted Croner, Lisette Model",11/30/1948,http://www.moma.org/calendar/exhibitions/2401,Edward Steichen,American,Male
American Paintings from the Museum Collection,12/23/1948,http://www.moma.org/calendar/exhibitions/2852,Dorothy C. Miller,American,Female
Hidden Talent Competition,2/1/1949,http://www.moma.org/calendar/exhibitions/3246,Wallace K. Harrison,American,Male
The Exact Instant,2/8/1949,http://www.moma.org/calendar/exhibitions/3245,Edward Steichen,American,Male
From Le Corbusier to Niemeyer: 1929–1949,2/15/1949,http://www.moma.org/calendar/exhibitions/2727,Jean (Hans) Arp,French,Male
The 28th Annual Exhibition of Advertising and Editorial Art of the New York Art Directors Club,3/15/1949,http://www.moma.org/calendar/exhibitions/3249,"Alfred H. Barr, Jr.",American,Male
Pictures for Children Aged 3–12 Years,3/18/1949,http://www.moma.org/calendar/exhibitions/3252,Paul Cézanne,French,Male
Georges Braque,3/29/1949,http://www.moma.org/calendar/exhibitions/1963,William S. Lieberman,American,Male
Frank Lloyd Wright: A New Theatre,4/5/1949,http://www.moma.org/calendar/exhibitions/3250,Frank Lloyd Wright,American,Male
Roots of Photography,4/26/1949,http://www.moma.org/calendar/exhibitions/2402,Edward Steichen,American,Male
Lobmeyr Glass,4/26/1949,http://www.moma.org/calendar/exhibitions/2742,Philip Johnson,American,Male
Master Prints from the Museum Collection,5/10/1949,http://www.moma.org/calendar/exhibitions/2405,"Alfred H. Barr, Jr.",American,Male
Twentieth Century Italian Art,6/28/1949,http://www.moma.org/calendar/exhibitions/2819,"Alfred H. Barr, Jr.",American,Male
Art Nouveau from the Museum Collection,7/12/1949,http://www.moma.org/calendar/exhibitions/1791,Emile Gallé,French,Male
Realism in Photography,7/26/1949,http://www.moma.org/calendar/exhibitions/2403,Edward Steichen,American,Male
"Prints by Gauguin, Vuillard, and Bonnard",7/26/1949,http://www.moma.org/calendar/exhibitions/2404,William S. Lieberman,American,Male
Sculpture by Painters,8/3/1949,http://www.moma.org/calendar/exhibitions/3373,André Beaudin,French,Male
Painting and Sculpture in Architecture,8/3/1949,http://www.moma.org/calendar/exhibitions/3372,Aino Aalto,Finnish,Female
Anni Albers Textiles,9/14/1949,http://www.moma.org/calendar/exhibitions/2736,Anni Albers,American,Female
"Photographs by Margaret Bourke-White, Helen Levitt, Dorothea Lange, Tana Hoban, Esther Bubley, and Hazel-Frieda Larsen",10/11/1949,http://www.moma.org/calendar/exhibitions/3261,Edward Steichen,American,Male
Polio Poster Competition,10/31/1949,http://www.moma.org/calendar/exhibitions/1812,György Kepes,American,Male
Design Show: Christmas 1949,11/15/1949,http://www.moma.org/calendar/exhibitions/2737,Alexander Girard,American,Male
Paintings from the Museum Collection,11/29/1949,http://www.moma.org/calendar/exhibitions/2406,José Clemente Orozco,Mexican,Male
Roots of French Photography,11/29/1949,http://www.moma.org/calendar/exhibitions/3255,Edward Steichen,American,Male
Percival Goodman War Memorial Model,1/17/1950,http://www.moma.org/calendar/exhibitions/3259,Peter Blake,British,Male
Photographs of Picasso by Gjon Mili and by Robert Capa,1/24/1950,http://www.moma.org/calendar/exhibitions/3258,Edward Steichen,American,Male
"Photography Recent Acquisitions: Stieglitz, Atget",3/28/1950,http://www.moma.org/calendar/exhibitions/2407,Eugène Atget,French,Male
Color Photography,5/9/1950,http://www.moma.org/calendar/exhibitions/2408,Edward Steichen,American,Male
Exhibition House by Gregory Ain,5/17/1950,http://www.moma.org/calendar/exhibitions/2746,Gregory Ain,American,Male
Posters from the Bernard Davis Collection,5/24/1950,http://www.moma.org/calendar/exhibitions/2758,Alexey Brodovitch,American,Male
Edvard Munch,6/30/1950,http://www.moma.org/calendar/exhibitions/3268,Edvard Munch,Norwegian,Male
Recent Acquisitions: British Color Lithographs,9/12/1950,http://www.moma.org/calendar/exhibitions/3378,William S. Lieberman,American,Male
Photographs by Lewis Carroll,9/26/1950,http://www.moma.org/calendar/exhibitions/2410,Edward Steichen,American,Male
Matthew Nowicki 1910–1950,9/26/1950,http://www.moma.org/calendar/exhibitions/3272,Philip Johnson,American,Male
Chaim Soutine,10/31/1950,http://www.moma.org/calendar/exhibitions/3271,Monroe Wheeler,American,Male
Good Design,11/21/1950,http://www.moma.org/calendar/exhibitions/1714,Serge Chermayeff,British,Male
"New Talent Exhibition in the Penthouse: Bunce, Johnston, and Mundt",11/28/1950,http://www.moma.org/calendar/exhibitions/3274,Louis Bunce,American,Male
Swiss Posters,1/30/1951,http://www.moma.org/calendar/exhibitions/3276,Donald Brun,Swiss,Male
Korea - The Impact of War in Photographs,2/13/1951,http://www.moma.org/calendar/exhibitions/2412,Edward Steichen,American,Male
Abstraction in Photography,5/1/1951,http://www.moma.org/calendar/exhibitions/2413,Edward Steichen,American,Male
"New Talent Exhibition in the Penthouse: Di Spirito, Kriesberg, Mintz",5/8/1951,http://www.moma.org/calendar/exhibitions/3279,Irving Kriesberg,American,Male
From the Alfred Stieglitz Collection: An Extended Loan from the Metropolitan Museum of Art,5/22/1951,http://www.moma.org/calendar/exhibitions/3283,Constantin Brancusi,French,Male
"Le Corbusier: Architecture, Painting, Design",7/3/1951,http://www.moma.org/calendar/exhibitions/1793,Arthur Drexler,American,Male
"Some American Prints, 1949–50, from the Museum Collection",7/3/1951,http://www.moma.org/calendar/exhibitions/2415,William S. Lieberman,American,Male
12 Photographers,7/12/1951,http://www.moma.org/calendar/exhibitions/3380,Edward Steichen,American,Male
Modern Bible Illustration,7/18/1951,http://www.moma.org/calendar/exhibitions/3381,Monroe Wheeler,American,Male
Forgotten Photographers,8/23/1951,http://www.moma.org/calendar/exhibitions/3285,Edward Steichen,American,Male
Teaching Portfolios,8/23/1951,http://www.moma.org/calendar/exhibitions/3383,Carlus Dyer,American,Male
8 Automobiles,8/28/1951,http://www.moma.org/calendar/exhibitions/2928,Philip Johnson,American,Male
Prints by Max Beckmann,9/18/1951,http://www.moma.org/calendar/exhibitions/2414,William S. Lieberman,American,Male
Memorable Life Photographs,11/20/1951,http://www.moma.org/calendar/exhibitions/3282,Edward Steichen,American,Male
Christmas Photographs,11/29/1951,http://www.moma.org/calendar/exhibitions/3281,Edward Steichen,American,Male
Five French Photographers,12/18/1951,http://www.moma.org/calendar/exhibitions/2417,Edward Steichen,American,Male
Frank Lloyd Wright: Buildings for Johnson's Wax,1/15/1952,http://www.moma.org/calendar/exhibitions/2416,Arthur Drexler,American,Male
Masterworks Acquired through the Mrs. Simon Guggenheim Fund,1/29/1952,http://www.moma.org/calendar/exhibitions/2799,"Alfred H. Barr, Jr.",American,Male
Picasso: His Graphic Art,2/13/1952,http://www.moma.org/calendar/exhibitions/3295,William S. Lieberman,American,Male
Odilon Redon: Drawings and Lithographs,2/13/1952,http://www.moma.org/calendar/exhibitions/3287,William S. Lieberman,American,Male
Posters by Painters and Sculptors,3/4/1952,http://www.moma.org/calendar/exhibitions/2757,David Aronson,American,Male
Recent Acquisitions: Sam A. Lewisohn Bequest,3/19/1952,http://www.moma.org/calendar/exhibitions/3286,Aristide Maillol,French,Male
15 Americans,4/9/1952,http://www.moma.org/calendar/exhibitions/3294,Dorothy C. Miller,American,Female
"New Talent Exhibition in the Penthouse: Elliott, Powers, Rogalski, Summers",5/13/1952,http://www.moma.org/calendar/exhibitions/3293,Philip Elliott,American,Male
Diogenes with a Camera,5/20/1952,http://www.moma.org/calendar/exhibitions/3296,Edward Steichen,American,Male
Understanding African Negro Sculpture,7/1/1952,http://www.moma.org/calendar/exhibitions/3289,Carlus Dyer,American,Male
Then and Now,8/5/1952,http://www.moma.org/calendar/exhibitions/2418,Edward Steichen,American,Male
Works from the Museum Collection,8/12/1952,http://www.moma.org/calendar/exhibitions/2820,Dorothy C. Miller,American,Female
Two Houses: New Ways to Build,8/26/1952,http://www.moma.org/calendar/exhibitions/2420,Arthur Drexler,American,Male
"Recent American Woodcuts and Prints by Marin, Hopper and Weber",9/9/1952,http://www.moma.org/calendar/exhibitions/2419,William S. Lieberman,American,Male
Olivetti: Design in Industry,10/21/1952,http://www.moma.org/calendar/exhibitions/2741,Leo Lionni,American,Male
Diogenes with a Camera II,11/25/1952,http://www.moma.org/calendar/exhibitions/3303,Ansel Adams,American,Male
Always the Young Strangers,2/26/1953,http://www.moma.org/calendar/exhibitions/3302,Edward Steichen,American,Male
Postwar European Photography,5/26/1953,http://www.moma.org/calendar/exhibitions/2423,Edward Steichen,American,Male
"Summer Exhibition: New Acquisitions; Recent American Prints, 1947–1953; Katherine S. Dreier Bequest; Kuniyoshi and Spencer; Expressionism in Germany; Varieties of Realism",6/23/1953,http://www.moma.org/calendar/exhibitions/2824,"Alfred H. Barr, Jr.",American,Male
Jacques Villon: His Graphic Art,9/8/1953,http://www.moma.org/calendar/exhibitions/3311,William S. Lieberman,American,Male
Architecture for the State Department,10/6/1953,http://www.moma.org/calendar/exhibitions/2424,Arthur Drexler,American,Male
Léger,10/20/1953,http://www.moma.org/calendar/exhibitions/2833,Katharine Kuh,American,Female
Young American Printmakers,11/25/1953,http://www.moma.org/calendar/exhibitions/2425,Clinton Adams,American,Male
"Recent Acquisitions, 1946–1953: Department of Architecture and Design",12/22/1953,http://www.moma.org/calendar/exhibitions/1796,Philip Johnson,American,Male
Ancient Arts of the Andes,1/25/1954,http://www.moma.org/calendar/exhibitions/3317,René d'Harnoncourt,American,Male
Faces and Figures: Drawings from the Collection of The Museum of Modern Art,4/21/1954,http://www.moma.org/calendar/exhibitions/3321,Dorothy C. Miller,American,Female
Japanese Pottery by Kitaoji Rosanjin,4/29/1954,http://www.moma.org/calendar/exhibitions/2749,Kitaoji Rosanjin,Japanese,Male
Japanese Exhibition House,6/16/1954,http://www.moma.org/calendar/exhibitions/2711,Arthur Drexler,American,Male
Niles Spencer: A Retrospective Exhibition,6/22/1954,http://www.moma.org/calendar/exhibitions/2785,Dorothy C. Miller,American,Female
Sculpture by Constantin Brancusi,7/7/1954,http://www.moma.org/calendar/exhibitions/2873,Constantin Brancusi,French,Male
Prints by Paul Klee,7/7/1954,http://www.moma.org/calendar/exhibitions/2426,William S. Lieberman,American,Male
The Modern Movement in Italy: Architecture and Design,8/18/1954,http://www.moma.org/calendar/exhibitions/1877,Ada Louise Huxtable,American,Female
American Prints of the 20th Century,9/8/1954,http://www.moma.org/calendar/exhibitions/2430,William S. Lieberman,American,Male
XXVth Anniversary Exhibition: Paintings from the Museum Collection,10/19/1954,http://www.moma.org/calendar/exhibitions/2800,"Alfred H. Barr, Jr.",American,Male
Modern Masterprints of Europe,12/7/1954,http://www.moma.org/calendar/exhibitions/2427,William S. Lieberman,American,Male
The Family of Man,1/24/1955,http://www.moma.org/calendar/exhibitions/2429,Edward Steichen,American,Male
Good Design: 5th Anniversary,2/8/1955,http://www.moma.org/calendar/exhibitions/1718,"Alfred H. Barr, Jr.",American,Male
Fifteen Paintings by French Masters of the 19th Century from the Louvre and the Museums of Albi and Lyon,2/25/1955,http://www.moma.org/calendar/exhibitions/3323,René d'Harnoncourt,American,Male
Painting and Sculpture from the Museum Collection: New Acquisitions,3/5/1955,http://www.moma.org/calendar/exhibitions/2865,"Alfred H. Barr, Jr.",American,Male
Picasso: 12 Masterworks,3/15/1955,http://www.moma.org/calendar/exhibitions/2846,"Alfred H. Barr, Jr.",American,Male
Prints from Europe and Japan; Etchings by Matisse,5/4/1955,http://www.moma.org/calendar/exhibitions/2432,William S. Lieberman,American,Male
Paintings from Private Collections,5/31/1955,http://www.moma.org/calendar/exhibitions/2818,"Alfred H. Barr, Jr.",American,Male
Léger Memorial,8/19/1955,http://www.moma.org/calendar/exhibitions/2834,Fernand Léger,French,Male
Giorgio de Chirico,9/6/1955,http://www.moma.org/calendar/exhibitions/1967,James Thrall Soby,American,Male
Yves Tanguy,9/6/1955,http://www.moma.org/calendar/exhibitions/3325,James Thrall Soby,American,Male
Glass from the Museum of Modern Art Collection,10/25/1955,http://www.moma.org/calendar/exhibitions/2433,Arthur Drexler,American,Male
Prints by Nolde and Kirchner,11/8/1955,http://www.moma.org/calendar/exhibitions/2431,William S. Lieberman,American,Male
Diogenes with a Camera III,1/17/1956,http://www.moma.org/calendar/exhibitions/3332,Edward Steichen,American,Male
Toulouse-Lautrec,3/21/1956,http://www.moma.org/calendar/exhibitions/3336,William S. Lieberman,American,Male
Matisse Maquette: The Sheaf,3/28/1956,http://www.moma.org/calendar/exhibitions/3334,Henri Matisse,French,Male
Diogenes with a Camera IV,4/4/1956,http://www.moma.org/calendar/exhibitions/3335,Edward Steichen,American,Male
Recent Drawings U.S.A.,4/25/1956,http://www.moma.org/calendar/exhibitions/3344,William S. Lieberman,American,Male
Twelve Americans,5/30/1956,http://www.moma.org/calendar/exhibitions/3331,Dorothy C. Miller,American,Female
Renoir's Reclining Nude,6/24/1956,http://www.moma.org/calendar/exhibitions/3330,Paul Cézanne,French,Male
Prints of Henri Matisse,6/27/1956,http://www.moma.org/calendar/exhibitions/2435,William S. Lieberman,American,Male
Language of the Wall: Parisian Graffiti Photographed by Brassaï,10/24/1956,http://www.moma.org/calendar/exhibitions/3340,Edward Steichen,American,Male
Recent European Acquisitions,11/28/1956,http://www.moma.org/calendar/exhibitions/2894,"Alfred H. Barr, Jr.",American,Male
Balthus,12/19/1956,http://www.moma.org/calendar/exhibitions/3345,James Thrall Soby,American,Male
Drawings Recently Acquired for the Museum Collection,1/29/1957,http://www.moma.org/calendar/exhibitions/3353,Dorothy C. Miller,American,Female
The Graphic Work of Edvard Munch,2/6/1957,http://www.moma.org/calendar/exhibitions/2438,William S. Lieberman,American,Male
Buildings for Business and Government,2/27/1957,http://www.moma.org/calendar/exhibitions/3349,Arthur Drexler,American,Male
Recent American Acquisitions,3/14/1957,http://www.moma.org/calendar/exhibitions/2923,Dorothy C. Miller,American,Female
Picasso: 75th Anniversary,5/4/1957,http://www.moma.org/calendar/exhibitions/2847,"Alfred H. Barr, Jr.",American,Male
Matta,9/11/1957,http://www.moma.org/calendar/exhibitions/1932,William S. Rubin,American,Male
German Art of the 20th Century,10/2/1957,http://www.moma.org/calendar/exhibitions/2815,William S. Lieberman,American,Male
70 Photographers Look at New York,11/27/1957,http://www.moma.org/calendar/exhibitions/2439,Edward Steichen,American,Male
Chagall,12/18/1957,http://www.moma.org/calendar/exhibitions/2812,Marc Chagall,French,Male
"Three Painters as Printmakers: Braque, Miró, Morandi",1/29/1958,http://www.moma.org/calendar/exhibitions/2893,William S. Lieberman,American,Male
Juan Gris,4/8/1958,http://www.moma.org/calendar/exhibitions/1887,James Thrall Soby,American,Male
50 Selections from the Collection of Mr. and Mrs. Walter Bareiss,4/23/1958,http://www.moma.org/calendar/exhibitions/3357,William S. Lieberman,American,Male
Jean Arp: A Retrospective,10/8/1958,http://www.moma.org/calendar/exhibitions/2829,James Thrall Soby,American,Male
Philip L. Goodwin Collection,10/8/1958,http://www.moma.org/calendar/exhibitions/3354,Constantin Brancusi,French,Male
Works of Art: Given or Promised,10/8/1958,http://www.moma.org/calendar/exhibitions/2794,"Alfred H. Barr, Jr.",American,Male
Second Floor Permanent Collection,10/8/1958,http://www.moma.org/calendar/exhibitions/2858,Milton Avery,American,Male
Ten European Artists,12/31/1958,http://www.moma.org/calendar/exhibitions/3356,William S. Lieberman,American,Male
Architecture and Imagery: Four New Buildings,2/11/1959,http://www.moma.org/calendar/exhibitions/2440,Arthur Drexler,American,Male
American Acquisitions: Recent Additions of Prints to the Museum Collection,4/2/1959,http://www.moma.org/calendar/exhibitions/3358,William S. Lieberman,American,Male
Recent Sculpture U.S.A.,5/13/1959,http://www.moma.org/calendar/exhibitions/3359,Dorothy C. Miller,American,Female
The New American Painting as Shown in Eight European Countries 1958–1959,5/28/1959,http://www.moma.org/calendar/exhibitions/1990,Dorothy C. Miller,American,Female
"Drawings, Watercolors, Collages: New Acquisitions",7/15/1959,http://www.moma.org/calendar/exhibitions/3361,William S. Lieberman,American,Male
Three Structures by Buckminster Fuller,9/22/1959,http://www.moma.org/calendar/exhibitions/3360,Arthur Drexler,American,Male
Buckminster Fuller,10/27/1959,http://www.moma.org/calendar/exhibitions/3368,Arthur Drexler,American,Male
The Artist in His Studio: Photographs by Alexander Liberman,10/29/1959,http://www.moma.org/calendar/exhibitions/3362,Alexander Liberman,American,Male
"30th Anniversary Special Installation - Towards the ""New"" Museum",11/18/1959,http://www.moma.org/calendar/exhibitions/2840,Berenice Abbott,American,Female
16 Americans,12/16/1959,http://www.moma.org/calendar/exhibitions/2877,Dorothy C. Miller,American,Female
Fifty Modern Paintings and Sculpture Especially Donated for the Benefit of the 30th Anniversary Fund of The Museum of Modern Art,4/20/1960,http://www.moma.org/calendar/exhibitions/3407,René d'Harnoncourt,American,Male
Portraits from the Museum Collection,5/4/1960,http://www.moma.org/calendar/exhibitions/2806,William S. Lieberman,American,Male
Jazz by Henri Matisse,6/17/1960,http://www.moma.org/calendar/exhibitions/3408,Henri Matisse,French,Male
New Spanish Painting and Sculpture,7/20/1960,http://www.moma.org/calendar/exhibitions/2555,Frank O'Hara,American,Male
Visionary Architecture,9/29/1960,http://www.moma.org/calendar/exhibitions/2554,Arthur Drexler,American,Male
Photographs for Collectors,10/1/1960,http://www.moma.org/calendar/exhibitions/3409,Edward Steichen,American,Male
100 Drawings from the Museum Collection,10/11/1960,http://www.moma.org/calendar/exhibitions/3402,William S. Lieberman,American,Male
Fernand Léger in the Museum Collection,10/11/1960,http://www.moma.org/calendar/exhibitions/2835,"Alfred H. Barr, Jr.",American,Male
Birds and Beasts from the Museum of Modern Art,12/3/1960,http://www.moma.org/calendar/exhibitions/3517,"Alfred H. Barr, Jr.",American,Male
Painting and Sculpture from the James Thrall Soby Collection,2/1/1961,http://www.moma.org/calendar/exhibitions/3518,Francis Bacon,British,Male
Max Ernst,3/1/1961,http://www.moma.org/calendar/exhibitions/1883,William S. Lieberman,American,Male
Steichen the Photographer,3/28/1961,http://www.moma.org/calendar/exhibitions/3416,René d'Harnoncourt,American,Male
America Seen: Between The Wars,4/25/1961,http://www.moma.org/calendar/exhibitions/2853,Awa Tsireh (Alfonso Roybal),American,Male
The Mrs. Adele R. Levy Collection: A Memorial Exhibition,6/9/1961,http://www.moma.org/calendar/exhibitions/2795,Pierre Bonnard,French,Male
Roads,8/14/1961,http://www.moma.org/calendar/exhibitions/3423,Arthur Drexler,American,Male
Modern Paintings,8/18/1961,http://www.moma.org/calendar/exhibitions/2901,"Alfred H. Barr, Jr.",American,Male
Modern Allegories,8/19/1961,http://www.moma.org/calendar/exhibitions/2902,"Alfred H. Barr, Jr.",American,Male
"Eero Saarinen, 1910–1961",9/9/1961,http://www.moma.org/calendar/exhibitions/3422,Eero Saarinen,American,Male
"Max Weber, 1881–1961: In Memoriam",10/6/1961,http://www.moma.org/calendar/exhibitions/3426,Max Weber,American,Male
The Last Works of Matisse: Large Cut Gouaches,10/8/1961,http://www.moma.org/calendar/exhibitions/3425,Monroe Wheeler,American,Male
Harry Callahan and Robert Frank,1/30/1962,http://www.moma.org/calendar/exhibitions/2558,Edward Steichen,American,Male
Frank Lloyd Wright Drawings,3/14/1962,http://www.moma.org/calendar/exhibitions/2559,Arthur Drexler,American,Male
Fifty Drawings: Recent Acquisitions,4/10/1962,http://www.moma.org/calendar/exhibitions/3430,William S. Lieberman,American,Male
Picasso in the Museum of Modern Art: 80th Birthday Exhibition,5/14/1962,http://www.moma.org/calendar/exhibitions/1908,William S. Lieberman,American,Male
Recent Painting U.S.A.: The Figure,5/23/1962,http://www.moma.org/calendar/exhibitions/3431,"Alfred H. Barr, Jr.",American,Male
The Museum of Modern Art Builds,10/1/1962,http://www.moma.org/calendar/exhibitions/3435,Philip Johnson,American,Male
The Bitter Years: 1935–1941,10/18/1962,http://www.moma.org/calendar/exhibitions/3433,Edward Steichen,American,Male
European Print Acquisitions,10/18/1962,http://www.moma.org/calendar/exhibitions/2770,William S. Lieberman,American,Male
The Intimate World of Lyonel Feininger,1/16/1963,http://www.moma.org/calendar/exhibitions/2771,William S. Lieberman,American,Male
Le Corbusier: Buildings in Europe and India,1/29/1963,http://www.moma.org/calendar/exhibitions/2565,Arthur Drexler,American,Male
Americans 1963,5/22/1963,http://www.moma.org/calendar/exhibitions/3442,Dorothy C. Miller,American,Female
Five Unrelated Photographers,5/28/1963,http://www.moma.org/calendar/exhibitions/3441,John Szarkowski,American,Male
André Derain in the Museum Collection,6/28/1963,http://www.moma.org/calendar/exhibitions/2564,"Alfred H. Barr, Jr.",American,Male
Photographs by Lartigue,7/1/1963,http://www.moma.org/calendar/exhibitions/2563,John Szarkowski,American,Male
60 Modern Drawings: Recent Acquisitions,8/6/1963,http://www.moma.org/calendar/exhibitions/3440,William S. Lieberman,American,Male
The Photographer and the American Landscape,9/24/1963,http://www.moma.org/calendar/exhibitions/3438,John Szarkowski,American,Male
Fallingwater: A Frank Lloyd Wright House Revisited,11/1/1963,http://www.moma.org/calendar/exhibitions/2562,Arthur Drexler,American,Male
"Wilfred: Lumia Suite, Op 158",7/13/1964,http://www.moma.org/calendar/exhibitions/3445,Thomas Wilfred,American,Male
From the Museum Collections: Family Portraits,5/27/1964,http://www.moma.org/calendar/exhibitions/3446,Max Beckmann,German,Male
Drawings from the Museum Collections: A Selection,5/27/1964,http://www.moma.org/calendar/exhibitions/2566,William S. Lieberman,American,Male
Prints by Seventeen Artists,5/27/1964,http://www.moma.org/calendar/exhibitions/3447,William S. Lieberman,American,Male
Philip L. Goodwin Galleries of Architecture and Design,5/27/1964,http://www.moma.org/calendar/exhibitions/3449,Arthur Drexler,American,Male
Recent Acquisitions: South Asian Painting,5/27/1964,http://www.moma.org/calendar/exhibitions/3515,Moshe Elazar Castel,Israeli,Male
American Painters as New Lithographers,5/27/1964,http://www.moma.org/calendar/exhibitions/2765,William S. Lieberman,American,Male
The Photographer's Eye,5/27/1964,http://www.moma.org/calendar/exhibitions/2567,John Szarkowski,American,Male
Twentieth Century Engineering,6/30/1964,http://www.moma.org/calendar/exhibitions/2568,Arthur Drexler,American,Male
"Pennsylvania Avenue, Washington, D.C.",8/1/1964,http://www.moma.org/calendar/exhibitions/3453,Arthur Drexler,American,Male
Contemporary Painters and Sculptors as Printmakers,9/15/1964,http://www.moma.org/calendar/exhibitions/2766,William S. Lieberman,American,Male
Recent Acquisitions: Seven American Paintings,11/5/1964,http://www.moma.org/calendar/exhibitions/3458,"Alfred H. Barr, Jr.",American,Male
André Kertész,11/24/1964,http://www.moma.org/calendar/exhibitions/3460,John Szarkowski,American,Male
The Photo Essay,3/16/1965,http://www.moma.org/calendar/exhibitions/3463,John Szarkowski,American,Male
Siskind Recently,5/5/1965,http://www.moma.org/calendar/exhibitions/3462,John Szarkowski,American,Male
"Modern Architecture, U.S.A.",5/18/1965,http://www.moma.org/calendar/exhibitions/3464,Arthur Drexler,American,Male
Elliott Erwitt: Improbable Photographs,6/30/1965,http://www.moma.org/calendar/exhibitions/3469,John Szarkowski,American,Male
Glamour Portraits,8/2/1965,http://www.moma.org/calendar/exhibitions/3470,John Szarkowski,American,Male
The Prints of Masuo Ikeda,8/10/1965,http://www.moma.org/calendar/exhibitions/2782,William S. Lieberman,American,Male
Le Corbusier: 1887–1965,9/1/1965,http://www.moma.org/calendar/exhibitions/3471,Le Corbusier (Charles-Édouard Jeanneret),French,Male
